SUPPLIER_PART_NUMBER	MANUFACTURER_NAME	MANUFACTURER_PART_NUMBER	SHORT_DESCRIPTION	LONG_DESCRIPTION	NOTES_COMMENTS	CATEGORY_OF_PRODUCT_1	CATEGORY_OF_PRODUCT_2	CATEGORY_OF_PRODUCT_3	RESELLER_BUY_EX	RRP_EX	GOV_BUY_EX	GOV_RETAIL_EX	RESELLER_BUY_INC	RRP_INC	GOV_BUY_INC	GOV_RETAIL_INC	SERIALIZED	AVAILABILITY_M	AVAILABILITY_S	EOR_MARKER	WEIGHT	HEIGHT	WIDTH	LENGTH	TOTAL_AVAILABILITY	EAN	UPC	APN	G_Code	MOQ	MOQ_TYPE
981-001551(G522)	Logitech - Consumer	981-001551	G522 LIGHTSPEED Wireless Gaming Headset White	G522 LIGHTSPEED Wireless Gaming Headset White		Headset & Microphone			224.94	272.68			247.43	299.95			NO	73	469	EOR	0.670	21	10.5	21.4	542	097855205582	097855205582	0097855205582	DA00020688	1	Minimum Order Quantity
981-001564(G321)	Logitech - Consumer	981-001564	Logitech G G321 Lightspeed Wireless Gaming Headset - Black	Logitech G G321 Lightspeed Wireless Gaming Headset - Black		Headset & Microphone			106.10	118.14			116.71	129.95			NO	1015	755	EOR	0.370	19.2	9.1	19.4	1770	097855207913	097855207913	0097855207913	DA00023184	1	Minimum Order Quantity
981-001570(G321)	Logitech - Consumer	981-001570	Logitech G G321 Lightspeed Wireless Gaming Headset - White	Logitech G G321 Lightspeed Wireless Gaming Headset - White		Headset & Microphone			106.10	118.14			116.71	129.95			NO	199	127	EOR	0.340	19.2	9.1	19.4	326	097855207937	097855207937	0097855207937	DA00023187	1	Minimum Order Quantity
981-001577(H390)	Logitech - Consumer	981-001577	Logitech H390 USB-C Headset - Black	Logitech H390 USB-C Headset - Black		Headset & Microphone			97.24	109.05			106.96	119.95			NO	0	0	EOR	0.250	19.3	7.2	17.4	0	097855205766	097855205766	0097855205766	DA00023191	1	Minimum Order Quantity
981-001596(ZONE2ES)	Logitech - Consumer	981-001596	Zone Wireless 2 ES Headset - OFF-WHITE	Zone Wireless 2 ES Headset - OFF-WHITE		Headset & Microphone			269.54	299.95			296.49	329.95			NO	45	0	EOR	0.450	23.7	5.9	19.4	45	097855207708	097855207708	0097855207708	DA00026177	1	Minimum Order Quantity
981-001597(ZONE2ES)	Logitech - Consumer	981-001597	Zone Wireless 2 ES Headset - ROSE	Zone Wireless 2 ES Headset - ROSE		Headset & Microphone			269.54	299.95			296.49	329.95			NO	36	0	EOR	0.450	23.7	5.9	19.4	36	097855207715	097855207715	0097855207715	DA00026178	1	Minimum Order Quantity
981-001633(ZONE2)	Logitech - Consumer	981-001633	Zone Wired 2 Headset -GRAPHITE-USB	Zone Wired 2 Headset -GRAPHITE-USB		Headset & Microphone			164.00	181.77			180.40	199.95			NO	119	52	EOR	0.400	21.7	6.4	20.4	171	097855208439	097855208439	0097855208439	DA00026179	1	Minimum Order Quantity
981-001634(ZONE2)	Logitech - Consumer	981-001634	Zone Wired 2 Headset -ROSE-USB	Zone Wired 2 Headset -ROSE-USB		Headset & Microphone			164.00	181.77			180.40	199.95			NO	28	0	EOR	0.450	21.7	6.4	20.4	28	097855208392	097855208392	0097855208392	DA00026180	1	Minimum Order Quantity
981-001635(ZONE2)	Logitech - Consumer	981-001635	Zone Wired 2 Headset -OFFWHITE-USB	Zone Wired 2 Headset -OFFWHITE-USB		Headset & Microphone			164.00	181.77			180.40	199.95			NO	26	0	EOR	0.450	21.7	6.4	20.4	26	097855208385	097855208385	0097855208385	DA00026181	1	Minimum Order Quantity
984-001847(WONDERBOOM3)	Logitech - Consumer	984-001847	ULTIMATE EARS WONDERBOOM 3 - HYPER PINK	ULTIMATE EARS WONDERBOOM 3 - HYPER PINK		Speaker			117.29	136.32			129.02	149.95			NO	181	0	EOR	0.410	11.8	11.5	13.2	181	097855180292	097855180292	0097855180292	b4505	1	Minimum Order Quantity
